tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0249146,movie,Separation Anxiety,Separation Anxiety,0,2002.0,,87,Comedy
tt0249172,movie,The Suicide Club,The Suicide Club,0,2000.0,,89,Drama
tt0249180,movie,T.T. Syndrome,T.T. Sindrom,0,2002.0,,102,"Horror,Thriller"
tt0249238,movie,The Wedding Tackle,The Wedding Tackle,0,2000.0,,94,Comedy
tt0249241,movie,Werckmeister Harmonies,Werckmeister harmóniák,0,2000.0,,145,"Drama,Mystery"
tt0249261,movie,Young Love,Young Love,0,2001.0,,80,"Drama,Romance"
tt0249371,movie,Asoka,Asoka,0,2001.0,,180,"Action,Biography,Drama"
tt0249380,movie,Baise-moi,Baise-moi,0,2000.0,,77,"Crime,Drama,Thriller"
tt0249412,movie,Bride of Fire,Arous-e atash,0,2000.0,,113,"Drama,Romance"
tt0249443,movie,A Chronicle of Corpses,A Chronicle of Corpses,0,2000.0,,83,"Drama,Horror"
tt0249462,movie,Billy Elliot,Billy Elliot,0,2000.0,,110,"Drama,Music"
tt0249478,movie,Domestic Disturbance,Domestic Disturbance,0,2001.0,,89,"Crime,Thriller"
tt0249498,movie,Escape from Cuba,Escape from Cuba,0,2003.0,,97,"Action,Drama"
tt0249511,movie,Double Deception,Double Deception,0,2001.0,,87,"Action,Thriller"
tt0249516,movie,Foodfight!,Foodfight!,0,2012.0,,91,"Action,Adventure,Animation"
tt0249538,movie,The Girl,The Girl,0,2000.0,,84,"Drama,Mystery,Romance"
tt0249624,movie,Gabriel & Me,Gabriel & Me,0,2001.0,,84,Drama
tt0249757,movie,The Love Machine,The Love Machine,0,2000.0,,84,Drama
tt0249846,movie,Nobody Needs to Know,Nobody Needs to Know,0,2003.0,,96,Drama
tt0249858,movie,The Origin of Man,The Origin of Man,0,2000.0,,77,Drama
tt0249868,movie,Pedestrian,Pedestrian,0,2000.0,,97,"Comedy,Drama,Romance"
tt0249892,movie,Bad Seed,Preston Tylk,0,2000.0,,93,"Mystery,Thriller"
tt0249893,movie,The Price of Milk,The Price of Milk,0,2000.0,,87,"Comedy,Drama,Fantasy"
tt0250023,movie,Tapped Out,Tapped Out,0,2003.0,,95,"Action,Crime"
tt0250067,movie,The Trip,The Trip,0,2002.0,,95,"Comedy,Drama,Romance"
tt0250081,movie,Storytelling,Storytelling,0,2001.0,,87,"Comedy,Drama,Romance"
tt0250125,movie,Under the Skin of the City,Zir-e poost-e shahr,0,2001.0,,92,Drama
tt0250202,movie,All Over the Guy,All Over the Guy,0,2001.0,,95,"Comedy,Romance"
tt0250214,movie,Anthrax,Anthrax,0,2001.0,,90,"Drama,Sci-Fi,Thriller"
tt0250223,movie,Asterix & Obelix: Mission Cleopatra,Astérix & Obélix : Mission Cléopâtre,0,2002.0,,107,"Adventure,Comedy,Family"
tt0250224,movie,Crazy/Beautiful,Crazy/Beautiful,0,2001.0,,99,"Drama,Romance"
tt0250258,movie,The Experiment,Das Experiment,0,2001.0,,120,"Drama,Thriller"
tt0250274,movie,The Brothers,The Brothers,0,2001.0,,106,"Comedy,Drama,Romance"
tt0250282,movie,Teddy Bears' Picnic,Teddy Bears' Picnic,0,2001.0,,80,Comedy
tt0250292,movie,Cheats,Cheats,0,2002.0,,86,Comedy
tt0250310,movie,Corky Romano,Corky Romano,0,2001.0,,86,"Comedy,Crime"
tt0250313,movie,Help!!!,Lat sau wui cheun,0,2000.0,,92,Comedy
tt0250323,movie,The Deep End,The Deep End,0,2001.0,,101,"Crime,Drama,Mystery"
tt0250343,movie,Hair Under the Roses,Du poil sous les roses,0,2000.0,,85,Comedy
tt0250347,movie,Double Whammy,Double Whammy,0,2001.0,,93,"Comedy,Crime,Drama"
tt0250371,movie,The Other Side of Heaven,The Other Side of Heaven,0,2001.0,,113,"Adventure,Biography,Drama"
tt0250415,movie,Har Dil Jo Pyar Karega...,Har Dil Jo Pyar Karega...,0,2000.0,,173,"Comedy,Drama,Musical"
tt0250445,movie,"Is It Clear, My Friend?",Je li jasno prijatelju?,0,2000.0,,97,"Action,Crime,Drama"
tt0250451,movie,Johnny Greyeyes,Johnny Greyeyes,0,2000.0,,75,Drama
tt0250468,movie,Killing Me Softly,Killing Me Softly,0,2002.0,,100,"Drama,Mystery,Romance"
tt0250478,movie,Nico and Dani,Krámpack,0,2000.0,,91,"Comedy,Drama,Romance"
tt0250485,movie,L.A.P.D.: To Protect and to Serve,L.A.P.D.: To Protect and to Serve,0,2001.0,,94,"Action,Crime,Drama"
tt0250491,movie,Late Night Shopping,Late Night Shopping,0,2001.0,,91,Comedy
tt0250494,movie,Legally Blonde,Legally Blonde,0,2001.0,,96,"Comedy,Romance"
tt0250613,movie,New Alcatraz,Boa,0,2001.0,,96,"Action,Horror,Sci-Fi"
tt0250617,movie,Night at the Golden Eagle,Night at the Golden Eagle,0,2001.0,,87,Drama
tt0250625,movie,Way Off Broadway,Way Off Broadway,0,2001.0,,87,Drama
tt0250636,movie,Out of the Black,Out of the Black,0,2001.0,,106,"Drama,Mystery,Thriller"
tt0250638,movie,PTU,PTU,0,2003.0,,88,"Crime,Drama,Thriller"
tt0250687,movie,Rat Race,Rat Race,0,2001.0,,112,"Action,Adventure,Comedy"
tt0250690,movie,Refugee,Refugee,0,2000.0,,207,"Drama,Musical,Romance"
tt0250698,movie,Ritual,Ritual,0,2002.0,,99,Horror
tt0250716,movie,The Search for John Gissing,The Search for John Gissing,0,2001.0,,91,Comedy
tt0250720,movie,See Spot Run,See Spot Run,0,2001.0,,94,"Action,Comedy,Crime"
tt0250774,movie,Tera Jadoo Chal Gayaa,Tera Jadoo Chal Gayaa,0,2000.0,,143,"Musical,Romance"
tt0250790,movie,Turn of Faith,Turn of Faith,0,2002.0,,96,"Crime,Drama"
tt0250797,movie,Unfaithful,Unfaithful,0,2002.0,,124,"Drama,Romance,Thriller"
tt0250804,movie,Don't Let Go,Don't Let Go,0,2002.0,,87,Drama
tt0250809,movie,Our Lady of the Assassins,La Virgen de los Sicarios,0,2000.0,,101,"Crime,Drama"
tt0250944,movie,The Adventures of Cinderella's Daughter,The Adventures of Cinderella's Daughter,0,2000.0,,70,"Comedy,Family,Fantasy"
tt0251004,movie,The Caprice,The Caprice,0,2000.0,,91,Drama
tt0251005,movie,Carnivore,Carnivore,0,2000.0,,80,"Horror,Sci-Fi"
tt0251031,movie,Series 7: The Contenders,Series 7: The Contenders,0,2001.0,,86,"Comedy,Thriller"
tt0251046,movie,Deception,Deception,0,2000.0,,92,Thriller
tt0251052,movie,The Discovery of Heaven,The Discovery of Heaven,0,2001.0,,150,"Drama,Fantasy"
tt0251054,movie,The Donor,The Donor,0,2001.0,,95,Romance
tt0251057,movie,Double Bang,Double Bang,0,2001.0,,104,"Crime,Drama,Thriller"
tt0251075,movie,Evolution,Evolution,0,2001.0,,101,"Comedy,Sci-Fi"
tt0251091,movie,Before the Storm,Före stormen,0,2000.0,,106,"Crime,Drama,Thriller"
tt0251094,movie,Gen-Y Cops,Dak ging san yan lui 2,0,2000.0,,120,"Action,Sci-Fi"
tt0251110,movie,Gypsy 83,Gypsy 83,0,2001.0,,94,"Drama,Romance"
tt0251114,movie,Hart's War,Hart's War,0,2002.0,,125,"Drama,War"
